Year,Annual
1976,4.150000000000001
1977,3.875
1978,3.041666666666666
1979,3.108333333333333
1980,4.4
1981,4.325
1982,6.3
1983,5.891666666666667
1984,4.983333333333333
1985,5.133333333333334
1986,5.358333333333333
1987,4.816666666666667
1988,4.491666666666666
1989,4.150000000000001
1990,4.250000000000001
1991,4.45
1992,4.566666666666667
1993,4.941666666666666
1994,4.783333333333334
1995,4.358333333333333
1996,4.249999999999999
1997,3.7916666666666665
1998,3.6750000000000003
1999,3.483333333333334
2000,3.775
2001,4.266666666666667
2002,5.083333333333334
2003,5.550000000000001
2004,5.508333333333333
2005,5.0666666666666655
2006,4.424999999999999
2007,4.2333333333333325
2008,4.608333333333333
2009,6.891666666666668
2010,6.933333333333333
2011,6.383333333333332
2012,5.716666666666668
2013,5.3
2014,4.508333333333332
2015,4.1499999999999995
2016,4.016666666666667
2017,3.6166666666666667
2018,3.358333333333333
2019,3.1583333333333337
2020,5.816666666666666
