Unnamed: 0,year,fire_impact_score,burned_acres,total_data_days,avg_pm25,med_pm25,peak_pm25,moderate_smoke_days,extreme_smoke_days,pm25_90th_percentile,consecutive_high_pm25_days,composite_smoke_impact,weighted_smoke_day_count,unemployment_rate,Annual
0,1999,5.63,179196.75,63,12.267724867724866,10.750000000000002,28.233333333333324,0,0,21.120000000000005,0,1.4254273504273511,27,3.48,3.483333333333334
1,2000,14.57,712057.21,61,10.962568306010926,9.966666666666669,27.09999999999999,0,0,17.73333333333334,0,0.8903133903133902,22,3.78,3.775
2,2001,3.89,194140.39,62,10.577688172043011,9.700000000000005,25.966666666666654,0,0,17.8525,0,0.8055555555555556,19,4.27,4.266666666666667
3,2002,9.24,488418.3,61,12.425273224043718,11.366666666666667,39.82499999999999,1,0,20.933333333333337,0,1.475867165242165,27,5.08,5.083333333333334
4,2003,6.07,212752.7,65,10.4375641025641,9.8,24.76666666666667,0,0,17.86,0,0.7221509971509972,19,5.55,5.550000000000001
5,2004,6.81,116404.02,68,8.976348039215686,8.283333333333333,26.266666666666655,0,0,13.43333333333334,0,0.3637464387464388,13,5.51,5.508333333333333
6,2005,19.12,396796.99,62,12.030645161290323,10.266666666666666,33.900000000000006,0,0,22.574999999999996,0,1.427777777777778,23,5.07,5.0666666666666655
7,2006,38.37,1782340.36,60,9.389305555555556,8.1375,21.6,0,0,15.660000000000002,0,0.5396723646723646,16,4.43,4.424999999999999
8,2007,8.93,180215.78,61,10.271311475409837,8.700000000000003,30.800000000000008,0,0,19.500000000000004,0,0.8901709401709405,14,4.23,4.2333333333333325
9,2008,11.19,559878.15,61,8.486065574,6.850000000000002,18.15,0,0,14.45,0,0.2747863247863249,12,4.61,4.608333333333333
10,2009,22.47,660844.55,62,8.091129032258065,7.199999999999999,20.050000000000004,0,0,13.18,0,0.2384615384615387,9,6.89,6.891666666666668
11,2010,13.67,227892.85,61,7.209836066,6.700000000000001,17.300000000000004,0,0,10.3,0,0.1021367521367522,3,6.93,6.933333333333333
12,2011,50.98,2677397.66,61,8.027049180327868,7.299999999999998,20.699999999999996,0,0,13.749999999999996,0,0.2423076923076922,9,6.38,6.383333333333332
13,2012,24.97,985194.85,61,7.553278689,7.000000000000003,14.799999999999995,0,0,11.250000000000002,0,0.023931624,1,5.72,5.716666666666668
14,2013,4.92,117782.21,62,7.654032258064516,7.325000000000001,20.550000000000004,0,0,11.890000000000004,0,0.1521367521367522,5,5.3,5.3
15,2014,13.15,221685.21,59,7.522033898305085,7.149999999999999,15.15,0,0,13.22,0,0.1183760683760683,7,4.51,4.508333333333332
16,2015,13.39,214063.96,61,7.3508196721311485,6.650000000000002,16.550000000000004,0,0,13.15,0,0.1504273504273503,9,4.15,4.1499999999999995
17,2016,27.47,1220200.07,125,5.974903616679739,5.200000000000002,17.8,0,0,9.898643776,0,0.1401148450924529,8,4.02,4.016666666666667
18,2017,26.95,1586569.94,168,5.652695752684407,5.508071666666667,14.717156882352938,0,0,9.106313155555556,0,0.068436496,5,3.62,3.6166666666666667
19,2018,25.76,1235771.94,124,7.944206545488087,6.354398166666666,30.90694444444445,0,0,15.937500000000002,0,1.0664773400927323,20,3.36,3.358333333333333
20,2019,3.37,49067.38,118,6.163249868,5.703472222222223,15.8,0,0,10.4311111,0,0.085383732,6,3.16,3.1583333333333337
21,2020,18.07,763706.34,182,8.424345388824626,7.0270015263157894,42.11064811111112,1,0,14.297996378947367,0,1.4037977383403315,31,5.82,5.816666666666666
