,year,predicted_impact_score
0,2000,3.649924
1,2001,7.983426
2,2002,6.69121
3,2003,7.256672
4,2004,6.935936
5,2005,6.848651
6,2006,9.049489
7,2007,14.142653
8,2008,13.122589
9,2009,12.680214
10,2010,14.1836
11,2011,13.971661
12,2012,19.85819
13,2013,20.505608
14,2014,17.80904
15,2015,16.899338
16,2016,16.183583
17,2017,17.847437
18,2018,19.144997
19,2019,20.031716
20,2020,17.183679
21,2021,16.919644237694722
22,2022,17.91713861281983
23,2023,17.32624088362281
24,2024,16.907496968394074
25,2025,15.871516280884872
26,2026,15.722125040672406
27,2027,15.378308224336399
28,2028,16.84783229154987
29,2029,16.172371023486416
30,2030,16.24225915559209
31,2031,14.724553988591605
32,2032,16.48176370432399
33,2033,16.066663281600842
34,2034,14.687555221356552
35,2035,14.488877934414202
36,2036,14.355629019706868
37,2037,14.462127485919076
38,2038,14.769196863264476
39,2039,14.450824037284232
40,2040,14.037839280396083
41,2041,14.54872078944476
42,2042,13.474811721304084
43,2043,13.652087297070436
44,2044,13.673650686587383
45,2045,13.727339968434073
46,2046,14.260958922786028
47,2047,12.96648556431672
48,2048,13.473250876827223
49,2049,13.508359137724085
50,2050,12.296271825439996
